"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.390490083E0,-8.748114355E-2,1.271323554E-2,-1.296549904E-1
1.400433083E0,-8.003785729E-2,-6.720460765E-3,-1.411248887E-1
1.410376083E0,-5.923170984E-2,-1.115915526E-2,-1.656370014E-1
1.420319083E0,-4.949616887E-2,-2.005291644E-2,-1.753977585E-1
1.430262083E0,-4.050892532E-2,-3.713139083E-2,-1.686342841E-1
1.440205083E0,-2.186383568E-2,-5.256581090E-2,-1.471381652E-1
1.450147083E0,-2.121092096E-2,-6.001593109E-2,-1.584765011E-1
1.460090083E0,-1.539571881E-2,-4.374404356E-2,-1.528315991E-1
1.470033083E0,-2.517708734E-2,-1.519143172E-2,-1.451547897E-1
1.479976083E0,-3.028448403E-2,-7.992120534E-3,-1.460616928E-1
1.489919083E0,-2.834350079E-2,9.161819480E-3,-1.484608054E-1
1.499866083E0,-3.872479364E-2,2.223480497E-2,-1.431953877E-1
1.509809083E0,-4.861755162E-2,1.917437229E-2,-1.026297444E-1
1.519752083E0,-6.562878303E-2,3.120801520E-2,-7.658800006E-2
1.529695083E0,-7.230791129E-2,1.432297401E-2,-6.844984531E-2
1.539638083E0,-6.627526581E-2,6.042512655E-3,-1.048247892E-1
1.549580083E0,-5.442756437E-2,6.735736616E-3,-1.490233076E-1
1.559523083E0,-5.597101003E-2,7.614463493E-3,-1.552108312E-1
1.569466083E0,-7.524869531E-2,1.199154295E-2,-1.049639529E-1
1.579409083E0,-8.506529331E-2,-1.442588501E-2,-1.729723334E-2
1.589352083E0,-9.903918855E-2,-3.399717361E-2,-2.813387811E-2
1.599295083E0,-9.482195735E-2,-4.923417706E-2,-9.326952159E-2
1.609238083E0,-9.219071031E-2,-3.229409896E-2,-1.502254951E-1
1.619181083E0,-6.238891393E-2,-9.478555843E-3,-2.331056839E-1
1.629124083E0,-3.317688234E-2,-1.866467781E-3,-2.164995915E-1
1.639067083E0,-3.724354774E-2,-4.648244083E-3,-8.203000367E-2
1.649009083E0,-3.934942245E-2,-2.673219088E-2,3.165390193E-2
1.658952083E0,-2.716075525E-2,-4.686042678E-2,-5.780732810E-2
1.668895083E0,-1.469142169E-2,-4.589578237E-2,-2.388815635E-1
1.678838083E0,-2.630274944E-2,-2.604002673E-2,-3.476035219E-1
1.688781083E0,-3.003049560E-2,-1.456947070E-2,-2.925712824E-1
1.698724083E0,-3.208052941E-2,-2.165457845E-2,-1.126682442E-1
1.708667083E0,-4.206077635E-2,-4.772464525E-2,1.361816525E-3
1.718610083E0,-4.858042181E-2,-5.774436090E-2,2.574704468E-2
1.728553083E0,-8.008346558E-2,-8.453685120E-3,-2.390107870E-2
